,seller_type,year,mileage,name,torque,seats,km_driven,transmission,owner,engine,max_power,fuel
167,Individual,2017,18.16 kmpl,Ford Figo Aspire 1.2 Ti-VCT Titanium,112Nm@ 4000rpm,5.0,80000,Manual,First Owner,1196 CC,86.8 bhp,Petrol
168,Individual,2004,13.6 kmpl,Mahindra Bolero DI,180 Nm at 1440-1500rpm,7.0,150000,Manual,Second Owner,2523 CC,63 bhp,Diesel
169,Individual,2017,26.59 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,25000,Manual,First Owner,1248 CC,74 bhp,Diesel
170,Dealer,2004,13.1 kmpl,Ford Endeavour 2.5L 4X2 MT,330Nm@ 1800rpm,7.0,93415,Manual,First Owner,2499 CC,141 bhp,Diesel
171,Individual,2019,28.4 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,15000,Manual,Second Owner,1248 CC,74 bhp,Diesel
172,Individual,2010,20.36 kmpl,Hyundai i10 Magna,111.7Nm@ 4000rpm,5.0,106000,Manual,Third Owner,1197 CC,78.9 bhp,Petrol
173,Individual,2013,22.07 kmpl,Volkswagen Polo Diesel Highline 1.2L,180Nm@ 2000rpm,5.0,70000,Manual,Second Owner,1199 CC,73.9 bhp,Diesel
174,Individual,2015,18.6 kmpl,Hyundai i20 Sportz 1.2,114.7Nm@ 4000rpm,5.0,90000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
175,Individual,2016,18.49 kmpl,Mahindra TUV 300 T8,240Nm@ 1600-2800rpm,7.0,71000,Manual,First Owner,1493 CC,100 bhp,Diesel
176,Individual,2006,17.7 kmpl,Honda City 2017-2020 GXi,"12.7@ 2,700(kgm@ rpm)",5.0,100000,Manual,Second Owner,1497 CC,78 bhp,Petrol
177,Individual,2017,21.1 kmpl,Hyundai EON Sportz,74.5Nm@ 4000rpm,5.0,31000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
178,Individual,2017,18.6 kmpl,Hyundai i20 2015-2017 Magna 1.2,114.7Nm@ 4000rpm,5.0,30000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
179,Individual,2006,16.1 kmpl,Maruti Swift VXi BSIV,"113Nm@ 4,500rpm",5.0,93000,Manual,Second Owner,1197 CC,85 bhp,Petrol
180,Individual,2017,14.1 kmpl,Tata Safari Storme EX,320Nm@ 1500-3000rpm,7.0,60000,Manual,First Owner,2179 CC,147.94 bhp,Diesel
181,Individual,2017,24.3 kmpl,Maruti Vitara Brezza ZDi,200Nm@ 1750rpm,5.0,90000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
182,Dealer,2017,13.6 kmpl,Jaguar XE 2016-2019 2.0L Diesel Prestige,430Nm@ 1750-2500rpm,5.0,9000,Automatic,First Owner,1999 CC,177 bhp,Diesel
183,Individual,2015,14.07 kmpl,Tata Sumo Gold EX BSIII,223Nm@ 1600-2200rpm,7.0,75000,Manual,First Owner,2956 CC,69.01 bhp,Diesel
184,Individual,2010,15.6 kmpl,Ford Figo Petrol Titanium,102Nm@ 4000rpm,5.0,120000,Manual,Third Owner,1196 CC,70 bhp,Petrol
185,Individual,2012,15.96 kmpl,Mahindra Bolero 2011-2019 SLX,195Nm@ 1400-2200rpm,7.0,50000,Manual,First Owner,2523 CC,62.1 bhp,Diesel
186,Individual,2013,14.0 kmpl,Mahindra Xylo D4 BSIII,260 Nm at 1800-2200 rpm,8.0,300000,Manual,First Owner,2498 CC,112 bhp,Diesel
187,Individual,2017,21.1 kmpl,Hyundai EON Era Plus Sports Edition,74.5Nm@ 4000rpm,5.0,20000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
188,Individual,2010,19.81 kmpl,Hyundai i10 Sportz 1.1L,99.04Nm@ 4500rpm,5.0,70000,Manual,Second Owner,1086 CC,68.05 bhp,Petrol
189,Dealer,2010,25.5 kmpl,Ford Figo Titanium Diesel BSIV,215Nm@ 1750-3000,5.0,86017,Manual,Second Owner,1498 CC,99.23 bhp,Diesel
190,Individual,2008,19.7 kmpl,Maruti Alto LXi,62Nm@ 3000rpm,5.0,70000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
191,Individual,2017,23.84 kmpl,Tata Tiago 1.2 Revotron XZ,114Nm@ 3500rpm,5.0,28000,Manual,Second Owner,1199 CC,84 bhp,Petrol
192,Individual,2010,21.1 kmpl,Maruti Ritz VDi,113Nm@ 4500rpm,5.0,120000,Manual,First Owner,1248 CC,73.9 bhp,Diesel
193,Dealer,2018,22.0 kmpl,Maruti Swift ZXI 2018,113Nm@ 4200rpm,5.0,15000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
194,Dealer,2015,22.0 kmpl,Maruti Swift VXI BSIV,113Nm@ 4200rpm,5.0,150546,Manual,First Owner,1197 CC,81.80 bhp,Petrol
195,Individual,2019,32.26 km/kg,Maruti Alto K10 LXI CNG,78Nm@ 3500rpm,4.0,20000,Manual,First Owner,998 CC,58.3 bhp,CNG
196,Individual,2016,18.5 kmpl,Maruti Ritz LXi,114Nm@ 4000rpm,5.0,82000,Manual,Third Owner,1197 CC,85.80 bhp,Petrol
197,Individual,2005,12.8 kmpl,Toyota Innova 2.5 G2,20.4@ 1400-3400(kgm@ rpm),8.0,120000,Manual,First Owner,2494 CC,102 bhp,Diesel
198,Individual,2019,25.6 kmpl,Honda City i-DTEC V,200Nm@ 1750rpm,5.0,40000,Manual,First Owner,1498 CC,97.9 bhp,Diesel
199,Individual,2014,13.58 kmpl,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,171Nm@ 1800rpm,9.0,50000,Manual,First Owner,2499 CC,72.4 bhp,Diesel
200,Trustmark Dealer,2019,22.0 kmpl,Maruti Swift AMT VVT VXI,113Nm@ 4200rpm,5.0,5621,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
201,Dealer,2019,16.78 kmpl,BMW X4 M Sport X xDrive20d,400Nm@ 1750-2500rpm,5.0,8500,Automatic,First Owner,1995 CC,190 bhp,Diesel
202,Individual,2013,16.8 kmpl,Honda City V MT,146Nm@ 4800rpm,5.0,32000,Manual,First Owner,1497 CC,116.3 bhp,Petrol
203,Individual,2012,19.7 kmpl,Maruti Alto LXi,62Nm@ 3000rpm,5.0,111000,Manual,First Owner,796 CC,46.3 bhp,Petrol
204,Dealer,2014,22.7 kmpl,Ford Ecosport 1.5 DV5 MT Titanium Optional,204Nm@ 2000-2750rpm,5.0,132000,Manual,Second Owner,1498 CC,89.84 bhp,Diesel
205,Individual,2013,18.2 kmpl,Chevrolet Sail Hatchback Petrol,113Nm@ 5000rpm,5.0,46000,Manual,First Owner,1199 CC,84.8 bhp,Petrol
206,Individual,2014,18.6 kmpl,Maruti Swift ZXI,114Nm@ 4000rpm,5.0,50000,Manual,First Owner,1197 CC,85.8 bhp,Petrol
207,Individual,2011,12.8 kmpl,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,20.4@ 1400-3400(kgm@ rpm),8.0,375000,Manual,First Owner,2494 CC,102 bhp,Diesel
208,Individual,2012,,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),,,80000,Manual,Second Owner,,,Diesel
209,Dealer,2017,24.0 kmpl,Hyundai Grand i10 1.2 CRDi Sportz,190.24nm@ 1750-2250rpm,5.0,56290,Manual,First Owner,1186 CC,73.97 bhp,Diesel
210,Individual,2017,24.7 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,25000,Manual,Second Owner,796 CC,47.3 bhp,Petrol
211,Dealer,2017,19.33 kmpl,Jaguar XF 2.0 Diesel Portfolio,430Nm@ 1750-2500rpm,5.0,45000,Automatic,First Owner,1999 CC,177 bhp,Diesel
212,Dealer,2018,16.55 kmpl,Mahindra Thar CRDe AC,247Nm@ 1800-2000rpm,6.0,12000,Manual,First Owner,2498 CC,105 bhp,Diesel
213,Individual,2016,27.28 kmpl,Tata Tiago 1.05 Revotorq XZ WO Alloy,140Nm@ 1800-3000rpm,5.0,100000,Manual,First Owner,1047 CC,69 bhp,Diesel
214,Individual,2012,23.03 kmpl,Tata Indigo eCS LX BSIV,140Nm@ 1800-3000rpm,5.0,35000,Manual,Second Owner,1396 CC,69 bhp,Diesel
215,Individual,2006,12.8 kmpl,Toyota Innova 2.5 G2,20.4@ 1400-3400(kgm@ rpm),8.0,264000,Manual,First Owner,2494 CC,102 bhp,Diesel
216,Individual,2012,22.32 kmpl,Hyundai Verna 1.6 SX CRDi (O),259.8Nm@ 1900-2750rpm,5.0,80000,Manual,Second Owner,1582 CC,126.32 bhp,Diesel
217,Individual,2018,20.4 kmpl,Ford Aspire Trend Plus,120Nm@ 4250rpm,5.0,13000,Manual,First Owner,1194 CC,94.93 bhp,Petrol
218,Individual,2018,15.37 kmpl,Maruti Eeco 7 Seater Standard BSIV,101Nm@ 3000rpm,7.0,44000,Manual,First Owner,1196 CC,73 bhp,Petrol
219,Individual,2013,18.6 kmpl,Chevrolet Beat LS,108Nm@ 4400rpm,5.0,70000,Manual,Second Owner,1199 CC,79.4 bhp,Petrol
220,Individual,2010,19.81 kmpl,Hyundai i10 Magna 1.1L,99.04Nm@ 4500rpm,5.0,55000,Manual,Second Owner,1086 CC,68.05 bhp,Petrol
221,Individual,2018,21.5 kmpl,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,250Nm@ 1500-3000rpm,5.0,75000,Automatic,First Owner,1498 CC,108.5 bhp,Diesel
222,Individual,2014,20.92 kmpl,Maruti Alto K10 LXI,90Nm@ 3500rpm,5.0,60000,Manual,Second Owner,998 CC,67.1 bhp,Petrol
223,Individual,2016,25.2 kmpl,Maruti Swift VDI BSIV,190Nm@ 2000rpm,5.0,70000,Manual,First Owner,1248 CC,74 bhp,Diesel
224,Individual,2014,19.1 kmpl,Hyundai Xcent 1.2 Kappa S Option,113.75Nm@ 4000rpm,5.0,46000,Manual,Second Owner,1197 CC,81.86 bhp,Petrol
225,Individual,2014,26.21 kmpl,Maruti Ciaz ZDi,200Nm@ 1750rpm,5.0,90000,Manual,Second Owner,1248 CC,88.5 bhp,Diesel
226,Individual,2011,18.06 kmpl,Nissan Micra XL,104Nm@ 4000rpm,5.0,43500,Manual,Second Owner,1198 CC,75 bhp,Petrol
227,Individual,2015,22.77 kmpl,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,205Nm@ 1750-3250rpm,5.0,90000,Manual,First Owner,1498 CC,98.59 bhp,Diesel
228,Individual,2011,20.92 kmpl,Maruti Alto K10 2010-2014 VXI,90Nm@ 3500rpm,5.0,46000,Manual,First Owner,998 CC,67.1 bhp,Petrol
229,Individual,2014,22.74 kmpl,Maruti Alto 800 VXI,69Nm@ 3500rpm,5.0,25000,Manual,First Owner,796 CC,47.3 bhp,Petrol
230,Individual,2017,24.52 kmpl,Maruti Ertiga SHVS ZDI Plus,200Nm@ 1750rpm,7.0,50000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
231,Individual,2018,24.0 kmpl,Hyundai Grand i10 1.2 CRDi Sportz,190.24nm@ 1750-2250rpm,5.0,30000,Manual,First Owner,1186 CC,73.97 bhp,Diesel
232,Individual,2012,13.5 kmpl,Mahindra Scorpio M2DI,277.5Nm@ 1700-2200rpm,5.0,120000,Manual,Second Owner,2179 CC,115 bhp,Diesel
233,Individual,2014,22.9 kmpl,Maruti Swift ZDi,190Nm@ 2000rpm,5.0,90000,Manual,First Owner,1248 CC,74 bhp,Diesel
234,Individual,2016,23.65 kmpl,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,200Nm@ 1750rpm,5.0,52000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
235,Dealer,2017,24.0 kmpl,Hyundai Grand i10 1.2 CRDi Sportz,190.24nm@ 1750-2250rpm,5.0,56290,Manual,First Owner,1186 CC,73.97 bhp,Diesel
236,Individual,2008,17.88 kmpl,Tata Indica V2 2001-2011 DLS BSIII,85Nm@ 2500rpm,5.0,120000,Manual,Fourth & Above Owner,1396 CC,52.8 bhp,Diesel
237,Dealer,2011,17.0 kmpl,Honda City 1.5 V MT,146Nm at 4800 rpm,5.0,93500,Manual,Third Owner,1497 CC,118 bhp,Petrol
238,Trustmark Dealer,2016,19.16 kmpl,Toyota Camry 2.5 Hybrid,213Nm@ 4500rpm,5.0,68089,Automatic,First Owner,2494 CC,157.7 bhp,Petrol
239,Dealer,2017,14.7 kmpl,Skoda Octavia Elegance 1.8 TSI AT,250Nm@ 1250-5000rpm,5.0,33000,Automatic,Second Owner,1798 CC,177.5 bhp,Petrol
240,Individual,2009,17.88 kmpl,Tata Indica V2 DLE BSIII,85Nm@ 2500rpm,5.0,60000,Manual,Second Owner,1396 CC,52.8 bhp,Diesel
241,Individual,2018,25.17 kmpl,Renault KWID RXT,72Nm@ 4386rpm,5.0,30000,Manual,First Owner,799 CC,53.3 bhp,Petrol
242,Individual,2013,25.8 kmpl,Honda Amaze S i-Dtech,200Nm@ 1750rpm,5.0,70000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
243,Individual,2017,17.0 kmpl,Ford EcoSport 1.5 Petrol Titanium BSIV,150Nm@ 4500rpm,5.0,25000,Manual,First Owner,1497 CC,121.31 bhp,Petrol
244,Dealer,2018,16.25 kmpl,Skoda Kodiaq 2.0 TDI Style,340nm@ 1750-3000rpm,7.0,17601,Automatic,First Owner,1968 CC,148 bhp,Diesel
245,Individual,2019,23.95 kmpl,Maruti Alto K10 VXI AGS,90Nm@ 3500rpm,5.0,14000,Automatic,First Owner,998 CC,67.05 bhp,Petrol
246,Individual,2015,22.74 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,50000,Manual,First Owner,796 CC,47.3 bhp,Petrol
247,Individual,2009,20.36 kmpl,Hyundai i10 Magna,111.7Nm@ 4000rpm,5.0,110000,Manual,Second Owner,1197 CC,78.9 bhp,Petrol
248,Individual,2013,20.77 kmpl,Maruti Ertiga ZDI,200Nm@ 1750rpm,7.0,60000,Manual,First Owner,1248 CC,88.8 bhp,Diesel
249,Trustmark Dealer,2013,12.99 kmpl,Toyota Innova 2.5 VX (Diesel) 7 Seater,200Nm@ 1200-3600rpm,7.0,79328,Manual,Second Owner,2494 CC,100.6 bhp,Diesel
250,Individual,2009,12.8 kmpl,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,20.4@ 1400-3400(kgm@ rpm),8.0,217000,Manual,Fourth & Above Owner,2494 CC,102 bhp,Diesel
251,Individual,2014,22.32 kmpl,Hyundai Verna 1.6 SX,259.8Nm@ 1900-2750rpm,5.0,106000,Manual,First Owner,1582 CC,126.32 bhp,Diesel
252,Individual,2017,28.4 kmpl,Maruti Swift Dzire ZDI Plus,190Nm@ 2000rpm,5.0,70000,Manual,First Owner,1248 CC,74.02 bhp,Diesel
253,Individual,2015,14.1 kmpl,Tata Safari Storme EX,320Nm@ 1500-3000rpm,7.0,110000,Manual,First Owner,2179 CC,147.94 bhp,Diesel
254,Individual,2010,16.2 kmpl,Hyundai Verna Transform CRDi VGT SX ABS,24 KGM at 1900-2750 RPM,5.0,190000,Manual,Third Owner,1493 CC,110 bhp,Diesel
255,Individual,2014,14.0 kmpl,Mahindra Scorpio 2009-2014 EX 2WD 9S,200Nm@ 1400-2200rpm,9.0,50000,Manual,Second Owner,2523 CC,75 bhp,Diesel
256,Individual,2009,13.93 kmpl,Tata New Safari Dicor VX 4X2 BS IV,320Nm@ 1700-2700rpm,7.0,90000,Manual,Second Owner,2179 CC,138.1 bhp,Diesel
257,Individual,2014,14.0 kmpl,Tata Safari Storme VX,320Nm@ 1700-2700rpm,7.0,86000,Manual,Second Owner,2179 CC,138.1 bhp,Diesel
258,Individual,2016,25.17 kmpl,Renault KWID RXT,72Nm@ 4386rpm,5.0,30000,Manual,First Owner,799 CC,53.3 bhp,Petrol
259,Individual,2019,23.84 kmpl,Tata Tiago 1.2 Revotron XZA,114Nm@ 3500rpm,5.0,9200,Automatic,First Owner,1199 CC,83.83 bhp,Petrol
260,Dealer,2015,21.7 kmpl,Ford Ecosport 1.5 Diesel Titanium,215Nm@ 1750-2500rpm,5.0,92651,Manual,First Owner,1498 CC,98.96 bhp,Diesel
261,Individual,2017,25.83 kmpl,Ford Figo 1.5D Titanium MT,215Nm@ 1750-3000rpm,5.0,30000,Manual,First Owner,1498 CC,99 bhp,Diesel
262,Individual,2011,22.32 kmpl,Hyundai Verna 1.6 SX,259.8Nm@ 1900-2750rpm,5.0,80000,Manual,First Owner,1582 CC,126.32 bhp,Diesel
263,Individual,2019,18.6 kmpl,Hyundai Elite i20 Magna Plus BSIV,117nm@ 4000rpm,5.0,10000,Manual,First Owner,1197 CC,81.86 bhp,Petrol
264,Individual,2006,16.1 kmpl,Maruti 800 Std,59Nm@ 2500rpm,4.0,59000,Manual,Second Owner,796 CC,37 bhp,Petrol
265,Individual,2009,13.5 kmpl,Honda Civic 1.8 V MT,172Nm@ 4300rpm,5.0,125000,Manual,Second Owner,1799 CC,130 bhp,Petrol
266,Individual,2011,13.6 kmpl,Mahindra Bolero SLX,180 Nm at 1440-1500rpm,7.0,100000,Manual,Second Owner,2523 CC,63 bhp,Diesel
267,Individual,2018,23.84 kmpl,Tata Tiago 1.2 Revotron XT,114Nm@ 3500rpm,5.0,50000,Manual,First Owner,1199 CC,84 bhp,Petrol
268,Individual,2017,21.1 kmpl,Hyundai EON Magna Plus,74.5Nm@ 4000rpm,5.0,15000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
269,Dealer,2017,19.33 kmpl,Jaguar XF 2.0 Diesel Portfolio,430Nm@ 1750-2500rpm,5.0,45000,Automatic,First Owner,1999 CC,177 bhp,Diesel
270,Dealer,2017,19.33 kmpl,Jaguar XF 2.0 Diesel Portfolio,430Nm@ 1750-2500rpm,5.0,45000,Automatic,First Owner,1999 CC,177 bhp,Diesel
271,Dealer,2011,13.4 kmpl,Renault Fluence 2.0,190Nm@ 3700rpm,5.0,43000,Automatic,First Owner,1997 CC,135.1 bhp,Petrol
272,Individual,2016,24.52 kmpl,Maruti Ertiga SHVS VDI,200Nm@ 1750rpm,7.0,70000,Manual,Second Owner,1248 CC,88.5 bhp,Diesel
273,Individual,2016,23.01 kmpl,Renault KWID 1.0,91Nm@ 4250rpm,5.0,30000,Manual,Third Owner,999 CC,67 bhp,Petrol
274,Dealer,2018,22.77 kmpl,Ford EcoSport 1.5 TDCi Titanium BSIV,205Nm@ 1750-3250rpm,5.0,27620,Manual,First Owner,1498 CC,98.59 bhp,Diesel
275,Dealer,2017,17.0 kmpl,Ford EcoSport 1.5 Petrol Ambiente BSIV,150Nm@ 4500rpm,5.0,31596,Manual,First Owner,1497 CC,121.36 bhp,Petrol
276,Individual,2017,18.0 kmpl,Honda City i-VTEC CVT ZX,145Nm@ 4600rpm,5.0,20000,Automatic,First Owner,1497 CC,117.6 bhp,Petrol
277,Individual,2012,15.1 kmpl,Mahindra XUV500 W8 4WD,330Nm@ 1600-2800rpm,7.0,60000,Manual,Second Owner,2179 CC,140 bhp,Diesel
278,Individual,2015,19.09 kmpl,Tata Indigo CS LS (TDI) BS-III,135Nm@ 2500rpm,5.0,52000,Manual,First Owner,1405 CC,69.01 bhp,Diesel
279,Individual,2015,22.54 kmpl,Hyundai i20 Sportz 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,80000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
280,Individual,2013,21.02 kmpl,Tata Manza Club Class Quadrajet90 VX,200Nm@ 1750-3000rpm,5.0,189000,Manual,First Owner,1248 CC,88.76 bhp,Diesel
281,Individual,2012,19.01 kmpl,Renault Duster 110PS Diesel RxL,248Nm@ 2250rpm,5.0,110000,Manual,Second Owner,1461 CC,108.45 bhp,Diesel
282,Dealer,2018,18.7 kmpl,Honda Jazz 1.2 V i VTEC,110Nm@ 4800rpm,5.0,8576,Manual,First Owner,1199 CC,88.7 bhp,Petrol
283,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
284,Individual,2008,19.81 kmpl,Hyundai i10 Era 1.1,99.04Nm@ 4500rpm,5.0,93331,Manual,Second Owner,1086 CC,68.05 bhp,Petrol
285,Individual,2008,19.81 kmpl,Hyundai i10 Era,99.04Nm@ 4500rpm,5.0,30000,Manual,Second Owner,1086 CC,68.05 bhp,Petrol
286,Individual,2017,16.5 kmpl,Mahindra Bolero Power Plus SLX,195Nm@ 1400-2200rpm,7.0,60000,Manual,First Owner,1493 CC,70 bhp,Diesel
287,Dealer,2010,16.47 kmpl,Volkswagen Polo Select 1.2 MPI Highline,110Nm@ 3750rpm,5.0,44500,Manual,First Owner,1198 CC,74 bhp,Petrol
288,Individual,2011,12.8 kmpl,Toyota Innova 2.5 V Diesel 7-seater,20.4@ 1400-3400(kgm@ rpm),7.0,291000,Manual,Second Owner,2494 CC,102 bhp,Diesel
289,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
290,Trustmark Dealer,2019,22.0 kmpl,Maruti Swift AMT VVT VXI,113Nm@ 4200rpm,5.0,5621,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
291,Individual,2014,18.9 kmpl,Hyundai Grand i10 Sportz,114Nm@ 4000rpm,5.0,60000,Manual,Second Owner,1197 CC,82 bhp,Petrol
292,Individual,2017,23.65 kmpl,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,200Nm@ 1750rpm,5.0,100000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
293,Individual,2013,19.09 kmpl,Tata Indigo CS LS (TDI) BS III,135Nm@ 2500rpm,5.0,120000,Manual,First Owner,1396 CC,69 bhp,Diesel
294,Individual,2016,27.3 kmpl,Honda Jazz 1.5 V i DTEC,200Nm@ 1750rpm,5.0,30000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
295,Individual,2003,,Hyundai Santro Xing XS eRLX Euro II,,,68300,Manual,Third Owner,,,Petrol
296,Individual,2012,22.9 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,56000,Manual,Second Owner,1248 CC,74 bhp,Diesel
297,Dealer,2014,16.02 kmpl,Maruti Ertiga ZXI,130Nm@ 4000rpm,7.0,46100,Manual,First Owner,1373 CC,93.7 bhp,Petrol
298,Individual,2011,11.57 kmpl,Tata New Safari DICOR 2.2 EX 4x2,320Nm@ 1700-2700rpm,7.0,140000,Manual,Second Owner,2179 CC,138.1 bhp,Diesel
299,Dealer,2017,19.33 kmpl,Jaguar XF 2.0 Diesel Portfolio,430Nm@ 1750-2500rpm,5.0,45000,Automatic,First Owner,1999 CC,177 bhp,Diesel
300,Individual,2015,16.0 kmpl,Mahindra XUV500 W10 2WD,330Nm@ 1600-2800rpm,7.0,56975,Manual,First Owner,2179 CC,140 bhp,Diesel
301,Dealer,2013,11.2 kmpl,BMW X6 xDrive30d,540Nm@ 2000rpm,4.0,56000,Automatic,First Owner,2993 CC,241 bhp,Diesel
302,Dealer,2015,19.87 kmpl,Renault Duster 85PS Diesel RxL,200Nm@ 1750rpm,5.0,75000,Manual,First Owner,1461 CC,83.8 bhp,Diesel
303,Individual,2009,16.1 kmpl,Maruti 800 AC,59Nm@ 2500rpm,4.0,80000,Manual,First Owner,796 CC,37 bhp,Petrol
304,Individual,2017,15.96 kmpl,Mahindra Bolero 2011-2019 EX AC,195Nm@ 1400-2200rpm,7.0,70000,Manual,Second Owner,2523 CC,62.1 bhp,Diesel
305,Individual,2016,20.45 kmpl,Nissan Terrano XE 85 PS,200Nm@ 1900rpm,5.0,35000,Manual,First Owner,1461 CC,83.8 bhp,Diesel
306,Individual,2019,16.5 kmpl,Mahindra Bolero Power Plus ZLX,195Nm@ 1400-2200rpm,7.0,14000,Manual,First Owner,1493 CC,70 bhp,Diesel
307,Individual,2004,18.9 kmpl,Maruti Wagon R LXI,90Nm@ 3500rpm,5.0,70000,Manual,Second Owner,998 CC,67.1 bhp,Petrol
308,Individual,2014,23.4 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,90000,Manual,First Owner,1248 CC,74 bhp,Diesel
309,Individual,2015,20.51 kmpl,Maruti Wagon R VXI Optional,90Nm@ 3500rpm,5.0,40000,Manual,First Owner,998 CC,67.04 bhp,Petrol
310,Individual,2016,18.6 kmpl,Hyundai i20 2015-2017 Magna 1.2,114.7Nm@ 4000rpm,5.0,29000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
311,Trustmark Dealer,2014,23.1 kmpl,Maruti Celerio VXI AT,90Nm@ 3500rpm,5.0,65204,Automatic,First Owner,998 CC,67.04 bhp,Petrol
312,Individual,2019,17.4 kmpl,Honda City VX CVT,145Nm@ 4600rpm,5.0,20000,Automatic,First Owner,1497 CC,117.6 bhp,Petrol
313,Individual,2012,19.4 kmpl,Honda Brio S MT,109Nm@ 4500rpm,5.0,60000,Manual,First Owner,1198 CC,86.8 bhp,Petrol
314,Individual,2015,15.8 kmpl,Ford Ecosport 1.5 Ti VCT MT Titanium,140Nm@ 4400rpm,5.0,20000,Manual,Second Owner,1499 CC,110 bhp,Petrol
315,Individual,2013,21.1 kmpl,Hyundai EON Sportz,74.5Nm@ 4000rpm,5.0,50000,Manual,Second Owner,814 CC,55.2 bhp,Petrol
316,Individual,2012,19.09 kmpl,Tata Indigo eCS LX TDI BSIII,135Nm@ 2500rpm,5.0,80000,Manual,Fourth & Above Owner,1396 CC,69 bhp,Diesel
317,Individual,2018,20.65 kmpl,Tata Zest Quadrajet 1.3 XT,190Nm@ 1750-3000rpm,5.0,70000,Manual,First Owner,1248 CC,88.7 bhp,Diesel
318,Individual,2015,26.59 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,50000,Manual,First Owner,1248 CC,74 bhp,Diesel
319,Individual,2017,24.4 kmpl,Hyundai Xcent 1.1 CRDi SX Option,180.4Nm@ 1750-2500rpm,5.0,70000,Manual,Second Owner,1120 CC,71 bhp,Diesel
320,Individual,2017,23.84 kmpl,Tata Tiago 1.2 Revotron XZ,114Nm@ 3500rpm,5.0,42000,Manual,First Owner,1199 CC,84 bhp,Petrol
321,Dealer,2016,14.8 kmpl,Hyundai Creta 1.6 SX Automatic,151NM@ 4850rpm,5.0,40000,Automatic,First Owner,1591 CC,121.3 bhp,Petrol
322,Individual,2016,20.4 kmpl,Maruti Swift VXI Deca,113Nm@ 4200rpm,5.0,20000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
323,Individual,2008,12.85 kmpl,Tata Indigo Grand Petrol,124Nm@ 3500rpm,5.0,40000,Manual,Fourth & Above Owner,1396 CC,99.6 bhp,Petrol
324,Dealer,2016,15.3 kmpl,Tata Sumo EX,250Nm@ 1000-2000rpm,9.0,63000,Manual,First Owner,2956 CC,83.8 bhp,Diesel
325,Individual,2011,14.0 kmpl,Mahindra Scorpio EX,200Nm@ 1400-2200rpm,8.0,120000,Manual,Second Owner,2523 CC,75 bhp,Diesel
326,Dealer,2016,21.66 kmpl,Skoda Rapid 1.5 TDI AT Style Plus,250Nm@ 1500-2500rpm,5.0,99000,Automatic,First Owner,1498 CC,103.52 bhp,Diesel
327,Individual,2015,24.8 kmpl,Hyundai Verna 1.4 CRDi,219.7Nm@ 1750-2750rpm,5.0,248000,Manual,First Owner,1396 CC,88.7 bhp,Diesel
328,Individual,2017,23.0 kmpl,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,205Nm@ 1750-3250rpm,5.0,45000,Manual,First Owner,1498 CC,98.96 bhp,Diesel
329,Individual,2015,24.52 kmpl,Maruti Ertiga SHVS VDI,200Nm@ 1750rpm,7.0,40000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
